#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	#oper	#repeats	#indexBaseName
      1795023579	    3.564000000	    2.675675676	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.770000000	    1.328828829	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    3.784000000	    2.840840841	            666	            500	#spV	#     10	#indexes/dbpedia16
      1795023579	    1.812000000	    1.360360360	            666	            500	#spV	#     10	#indexes/dbpedia16
      1661802863	    2.972000000	    2.231231231	            666	            500	#spV	#     10	#indexes/dbpedia32
       298007556	    3.570000000	    2.489539749	            717	            500	#spV	#      1	#indexes/dblp
      1795023579	    1.778000000	    1.334834835	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.792000000	    1.345345345	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.772000000	    1.330330330	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    3.640000000	    2.732732733	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.986000000	    1.490990991	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    2.808000000	    2.108108108	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.952000000	    1.465465465	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    2.054000000	    1.542042042	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    2.052000000	    1.540540541	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    3.394000000	    2.548048048	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.990000000	    1.493993994	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    3.762000000	    2.824324324	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.964000000	    1.474474474	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    2.696000000	    2.024024024	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.966000000	    1.475975976	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.842000000	    1.382882883	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    2.000000000	    1.501501502	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.962000000	    1.472972973	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.906000000	    1.430930931	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.896000000	    1.423423423	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.902000000	    1.427927928	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.770000000	    1.328828829	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.766000000	    1.325825826	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.758000000	    1.319819820	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.756000000	    1.318318318	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    3.334000000	    2.503003003	            666	            500	#spV	#   1000	#indexes/dbpedia16
      1795023579	    1.830000000	    1.373873874	            666	            500	# spV	#   1000	#indexes/dbpedia16
      1661802863	    2.124000000	    1.594594595	            666	            500	# spV	#   1000	#indexes/dbpedia32
      1594911307	    2.706000000	    2.031531532	            666	            500	# spV	#   1000	#indexes/dbpedia64
      1544563055	    6.334000000	    4.755255255	            666	            500	# spV	#   1000	#indexes/dbpedia256
      1545893859	    6.350000000	    4.767267267	            666	            500	# spV	#   1000	#indexes/dbpedia256b
