#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	#oper	#repeats	#indexBaseName
      3573730289	    0.538000000	    0.192142857	           1400	            500	# VVo	#   1000	#indexes/dbpedia2
      3573730289	    0.872000000	    0.311428571	           1400	            500	# VVo	#   1000	#indexes/dbpedia2
      2643439182	    0.596000000	    0.212857143	           1400	            500	# VVo	#   1000	#indexes/dbpedia4
      2643439182	    0.944000000	    0.337142857	           1400	            500	# VVo	#   1000	#indexes/dbpedia4
      2156860034	    0.660000000	    0.235714286	           1400	            500	# VVo	#   1000	#indexes/dbpedia8
      2156860034	    1.010000000	    0.360714286	           1400	            500	# VVo	#   1000	#indexes/dbpedia8
      1914418314	    0.746000000	    0.266428571	           1400	            500	# VVo	#   1000	#indexes/dbpedia16
      1914418314	    1.092000000	    0.390000000	           1400	            500	# VVo	#   1000	#indexes/dbpedia16
      1795198251	    0.936000000	    0.334285714	           1400	            500	# VVo	#   1000	#indexes/dbpedia32
      1795198251	    1.218000000	    0.435000000	           1400	            500	# VVo	#   1000	#indexes/dbpedia32
      1741633163	    1.126000000	    0.402142857	           1400	            500	# VVo	#   1000	#indexes/dbpedia64
      1741633163	    1.504000000	    0.537142857	           1400	            500	# VVo	#   1000	#indexes/dbpedia64
      1815179736	    5.188000000	    1.852857143	           1400	            500	# VVo	#   1000	#indexes/dbpedia512
      1815179736	    5.226000000	    1.866428571	           1400	            500	# VVo	#   1000	#indexes/dbpedia512
