#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	#oper	#repeats	#indexBaseName
      3573730289	  205.719758065	    0.079842845	        1277973	            496	# VpV	#    100	#indexes/dbpedia2
      3573730289	  214.370967742	    0.083200506	        1277973	            496	# VpV	#    100	#indexes/dbpedia2
      2643439182	  205.784274194	    0.079867885	        1277973	            496	# VpV	#    100	#indexes/dbpedia4
      2643439182	  206.518145161	    0.080152711	        1277973	            496	# VpV	#    100	#indexes/dbpedia4
      2156860034	  227.135080645	    0.088154445	        1277973	            496	# VpV	#    100	#indexes/dbpedia8
      2156860034	  232.574596774	    0.090265600	        1277973	            496	# VpV	#    100	#indexes/dbpedia8
      1914418314	  269.645161290	    0.104653228	        1277973	            496	# VpV	#    100	#indexes/dbpedia16
      1914418314	  268.399193548	    0.104169650	        1277973	            496	# VpV	#    100	#indexes/dbpedia16
      1795198251	  320.568548387	    0.124417339	        1277973	            496	# VpV	#    100	#indexes/dbpedia32
      1795198251	  322.272177419	    0.125078542	        1277973	            496	# VpV	#    100	#indexes/dbpedia32
      1741633163	  416.292338710	    0.161569141	        1277973	            496	# VpV	#    100	#indexes/dbpedia64
      1741633163	  421.080645161	    0.163427553	        1277973	            496	# VpV	#    100	#indexes/dbpedia64
      1815179736	 1761.276209677	    0.683577040	        1277973	            496	# VpV	#    100	#indexes/dbpedia512
      1815179736	 1725.068548387	    0.669524317	        1277973	            496	# VpV	#    100	#indexes/dbpedia512
