#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	#oper	#repeats	#indexBaseName
      3573730289	    1.534000000	    0.110137852	           6964	            500	# sVV	#   1000	#indexes/dbpedia2
      3573730289	    2.006000000	    0.144026422	           6964	            500	# sVV	#   1000	#indexes/dbpedia2
      2643439182	    1.548000000	    0.111143021	           6964	            500	# sVV	#   1000	#indexes/dbpedia4
      2643439182	    1.924000000	    0.138139001	           6964	            500	# sVV	#   1000	#indexes/dbpedia4
      2156860034	    1.672000000	    0.120045951	           6964	            500	# sVV	#   1000	#indexes/dbpedia8
      2156860034	    2.142000000	    0.153790925	           6964	            500	# sVV	#   1000	#indexes/dbpedia8
      1914418314	    1.812000000	    0.130097645	           6964	            500	# sVV	#   1000	#indexes/dbpedia16
      1914418314	    2.202000000	    0.158098794	           6964	            500	# sVV	#   1000	#indexes/dbpedia16
      1795198251	    1.948000000	    0.139862148	           6964	            500	# sVV	#   1000	#indexes/dbpedia32
      1795198251	    2.400000000	    0.172314762	           6964	            500	# sVV	#   1000	#indexes/dbpedia32
      1741633163	    2.254000000	    0.161832280	           6964	            500	# sVV	#   1000	#indexes/dbpedia64
      1741633163	    2.838000000	    0.203762206	           6964	            500	# sVV	#   1000	#indexes/dbpedia64
      1815179736	    6.552000000	    0.470419299	           6964	            500	# sVV	#   1000	#indexes/dbpedia512
      1815179736	    6.950000000	    0.498994831	           6964	            500	# sVV	#   1000	#indexes/dbpedia512
